TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DT,Lithology,Well
688.54,511.2456,16.7448,0.0796,0.0308,0.8196,7.236,127.6849,2.6943,0.0279,4513.667,5.8706,3.0927,59.7381,FILITO,3_BRSA_778_SE
688.55,506.6032,16.6065,0.0774,0.032,0.8378,7.1856,127.9917,2.6954,0.0285,4035.9338,5.929,3.0987,59.7848,FILITO,3_BRSA_778_SE
688.56,529.224,17.0478,0.0742,0.0326,0.841,7.1478,128.2986,2.6966,0.0291,3558.2006,5.9875,3.1047,59.8315,FILITO,3_BRSA_778_SE
688.57,547.7837,17.2949,0.0689,0.0323,0.8459,7.1456,128.6054,2.6977,0.0296,3080.4675,6.0459,3.1106,59.8781,FILITO,3_BRSA_778_SE
688.58,545.2469,17.1852,0.0677,0.0332,0.847,7.0742,128.9122,2.6988,0.0302,2602.7343,6.1043,3.1166,59.9248,FILITO,3_BRSA_778_SE
688.59,521.4152,16.8109,0.0714,0.0324,0.853,7.1507,129.219,2.6999,0.0307,2125.0012,6.1628,3.1225,59.9714,FILITO,3_BRSA_778_SE
688.6,491.2272,16.241,0.0762,0.0319,0.8604,7.1536,129.5258,2.701,0.0313,1647.268,6.2212,3.1285,60.0181,FILITO,3_BRSA_778_SE
688.61,475.0242,15.8228,0.0799,0.0308,0.865,7.2569,129.4682,2.7018,0.0316,1578.6262,6.2688,3.1356,60.0811,FILITO,3_BRSA_778_SE
688.62,468.5425,15.7389,0.0854,0.0317,0.8594,7.2006,129.4106,2.7027,0.0319,1509.9844,6.3165,3.1428,60.1442,FILITO,3_BRSA_778_SE
688.63,466.9445,15.9637,0.0821,0.0296,0.8519,7.3453,129.353,2.7035,0.0322,1441.3427,6.3641,3.1499,60.2072,FILITO,3_BRSA_778_SE
