TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DTC,Lithology,Well
54.25,0.0,0.0,1.0,1.0,1.0,0.0,87.3021,2.3605,-0.4071,38.5417,0.5343,26.7463,54.3797,FOLHELHO,3_BRSA_889_SE
54.26,0.0,0.0,1.0,1.0,1.0,0.0,87.3656,2.3605,-0.4071,38.2379,0.5389,26.7462,54.3118,FOLHELHO,3_BRSA_889_SE
54.27,0.0,0.0,1.0,1.0,1.0,0.0,87.4291,2.3605,-0.4071,37.9341,0.5436,26.746,54.2439,FOLHELHO,3_BRSA_889_SE
54.28,0.0,0.0,1.0,1.0,1.0,0.0,87.4925,2.3605,-0.4071,37.6304,0.5482,26.7459,54.1759,FOLHELHO,3_BRSA_889_SE
54.29,0.0,0.0,1.0,1.0,1.0,0.0,87.556,2.3606,-0.4071,37.3266,0.5529,26.7457,54.108,FOLHELHO,3_BRSA_889_SE
54.3,0.0,0.0,1.0,1.0,1.0,0.0,87.6195,2.3606,-0.4071,37.0229,0.5575,26.7456,54.0401,FOLHELHO,3_BRSA_889_SE
54.31,0.0,0.0,1.0,1.0,1.0,0.0,87.546,2.3606,-0.4071,36.8968,0.5622,26.7455,54.1907,FOLHELHO,3_BRSA_889_SE
54.32,0.0,0.0,1.0,1.0,1.0,0.0,87.4725,2.3606,-0.4071,36.7707,0.5669,26.7455,54.3414,FOLHELHO,3_BRSA_889_SE
54.33,0.0,0.0,1.0,1.0,1.0,0.0,87.399,2.3606,-0.4071,36.6447,0.5716,26.7454,54.492,FOLHELHO,3_BRSA_889_SE
54.34,0.0,0.0,1.0,1.0,1.0,0.0,87.3255,2.3606,-0.4071,36.5186,0.5763,26.7453,54.6426,FOLHELHO,3_BRSA_889_SE
54.35,0.0,0.0,1.0,1.0,1.0,0.0,87.2519,2.3606,-0.4071,36.3926,0.581,26.7453,54.7933,FOLHELHO,3_BRSA_889_SE
54.36,0.0,0.0,1.0,1.0,1.0,0.0,87.1784,2.3606,-0.4071,36.2665,0.5857,26.7452,54.9439,FOLHELHO,3_BRSA_889_SE
54.37,0.0,0.0,1.0,1.0,1.0,0.0,87.1049,2.3606,-0.4071,36.1404,0.5904,26.7452,55.0945,FOLHELHO,3_BRSA_889_SE
54.38,0.0,0.0,1.0,1.0,1.0,0.0,87.0314,2.3606,-0.4071,36.0144,0.5951,26.7451,55.2452,FOLHELHO,3_BRSA_889_SE
54.39,0.0,0.0,1.0,1.0,1.0,0.0,86.9579,2.3606,-0.4071,35.8883,0.5998,26.745,55.3958,FOLHELHO,3_BRSA_889_SE
54.4,0.0,0.0,1.0,1.0,1.0,0.0,86.8844,2.3606,-0.4071,35.7623,0.6045,26.745,55.5465,FOLHELHO,3_BRSA_889_SE
54.41,0.0,0.0,1.0,1.0,1.0,0.0,86.7006,2.3606,-0.4071,35.6688,0.6009,26.7449,55.6403,FOLHELHO,3_BRSA_889_SE
54.42,0.0,0.0,1.0,1.0,1.0,0.0,86.5168,2.3607,-0.4071,35.5753,0.5973,26.7449,55.7341,FOLHELHO,3_BRSA_889_SE
54.43,0.0,0.0,1.0,1.0,1.0,0.0,86.333,2.3607,-0.4071,35.4818,0.5938,26.7449,55.8279,FOLHELHO,3_BRSA_889_SE
54.44,0.0,0.0,1.0,1.0,1.0,0.0,86.1492,2.3607,-0.4071,35.3883,0.5902,26.7448,55.9217,FOLHELHO,3_BRSA_889_SE
54.45,0.0,0.0,1.0,1.0,1.0,0.0,85.9654,2.3607,-0.4071,35.2948,0.5866,26.7448,56.0155,FOLHELHO,3_BRSA_889_SE
54.46,0.0,0.0,1.0,1.0,1.0,0.0,85.7816,2.3607,-0.4071,35.2013,0.583,26.7448,56.1093,FOLHELHO,3_BRSA_889_SE
54.47,0.0,0.0,1.0,1.0,1.0,0.0,85.5978,2.3607,-0.4071,35.1078,0.5794,26.7447,56.2031,FOLHELHO,3_BRSA_889_SE
54.48,0.0,0.0,1.0,1.0,1.0,0.0,85.414,2.3607,-0.4071,35.0144,0.5758,26.7447,56.2969,FOLHELHO,3_BRSA_889_SE
54.49,0.0,0.0,1.0,1.0,1.0,0.0,85.2302,2.3607,-0.4071,34.9209,0.5722,26.7446,56.3907,FOLHELHO,3_BRSA_889_SE
54.5,0.0,0.0,1.0,1.0,1.0,0.0,85.0464,2.3607,-0.4071,34.8274,0.5686,26.7446,56.4845,FOLHELHO,3_BRSA_889_SE
54.51,0.0,0.0,1.0,1.0,1.0,0.0,84.9829,2.3607,-0.4071,34.8029,0.5656,26.7446,56.356,FOLHELHO,3_BRSA_889_SE
54.52,0.0,0.0,1.0,1.0,1.0,0.0,84.9194,2.3607,-0.4071,34.7785,0.5626,26.7446,56.2275,FOLHELHO,3_BRSA_889_SE
54.53,0.0,0.0,1.0,1.0,1.0,0.0,84.8559,2.3607,-0.4071,34.754,0.5596,26.7446,56.099,FOLHELHO,3_BRSA_889_SE
54.54,0.0,0.0,1.0,1.0,1.0,0.0,84.7925,2.3607,-0.4071,34.7296,0.5566,26.7446,55.9704,FOLHELHO,3_BRSA_889_SE
54.55,0.0,0.0,1.0,1.0,1.0,0.0,84.729,2.3607,-0.4071,34.7051,0.5536,26.7446,55.8419,FOLHELHO,3_BRSA_889_SE
54.56,0.0,0.0,1.0,1.0,1.0,0.0,84.6655,2.3607,-0.4071,34.6807,0.5507,26.7446,55.7134,FOLHELHO,3_BRSA_889_SE
54.57,0.0,0.0,1.0,1.0,1.0,0.0,84.602,2.3607,-0.4071,34.6562,0.5477,26.7446,55.5849,FOLHELHO,3_BRSA_889_SE
54.58,0.0,0.0,1.0,1.0,1.0,0.0,84.5385,2.3607,-0.4071,34.6318,0.5447,26.7446,55.4563,FOLHELHO,3_BRSA_889_SE
54.59,0.0,0.0,1.0,1.0,1.0,0.0,84.475,2.3607,-0.4071,34.6073,0.5417,26.7446,55.3278,FOLHELHO,3_BRSA_889_SE
54.6,0.0,0.0,1.0,1.0,1.0,0.0,84.4115,2.3607,-0.4071,34.5829,0.5387,26.7446,55.1993,FOLHELHO,3_BRSA_889_SE
54.61,0.0,0.0,1.0,1.0,1.0,0.0,84.5284,2.3607,-0.4071,34.6803,0.5399,26.7446,55.2125,FOLHELHO,3_BRSA_889_SE
54.62,0.0,0.0,1.0,1.0,1.0,0.0,84.6454,2.3607,-0.4071,34.7778,0.5411,26.7446,55.2256,FOLHELHO,3_BRSA_889_SE
54.63,0.0,0.0,1.0,1.0,1.0,0.0,84.7624,2.3607,-0.4071,34.8753,0.5423,26.7446,55.2388,FOLHELHO,3_BRSA_889_SE
54.64,0.0,0.0,1.0,1.0,1.0,0.0,84.8793,2.3606,-0.4071,34.9728,0.5435,26.7446,55.252,FOLHELHO,3_BRSA_889_SE
54.65,0.0,0.0,1.0,1.0,1.0,0.0,84.9963,2.3606,-0.4071,35.0703,0.5447,26.7446,55.2652,FOLHELHO,3_BRSA_889_SE
54.66,0.0,0.0,1.0,1.0,1.0,0.0,85.1132,2.3606,-0.4071,35.1678,0.546,26.7446,55.2783,FOLHELHO,3_BRSA_889_SE
