TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO
494.28,94.4668,7.3682,0.1404,0.0356,0.8138,6.9024,141.4011,2.41,0.0115
494.29,94.7846,7.2597,0.1432,0.0347,0.8164,6.9578,141.0246,2.4103,0.0115
494.3,88.6018,6.9573,0.1522,0.0354,0.8248,6.9304,140.648,2.4106,0.0115
494.31,86.1832,6.8785,0.1523,0.0348,0.8387,6.981,140.4567,2.4109,0.0115
494.32,81.8422,6.7348,0.1568,0.0353,0.8573,6.9368,140.2654,2.4112,0.0115
494.33,76.3883,6.4623,0.1638,0.0357,0.8669,6.926,140.0742,2.4115,0.0115
494.34,75.1039,6.4548,0.1648,0.0364,0.872,6.8835,139.8829,2.4118,0.0115
494.35,86.359,6.7752,0.1627,0.0358,0.864,6.9142,139.6916,2.4122,0.0114
494.36,90.7401,6.8908,0.1614,0.0363,0.8605,6.8878,139.5003,2.4125,0.0114
494.37,91.1217,6.8705,0.1602,0.0368,0.8525,6.869,139.309,2.4128,0.0114
494.38,90.9114,6.8748,0.1562,0.0366,0.8446,6.8688,139.1178,2.4131,0.0114
494.39,88.5071,6.8008,0.1526,0.0374,0.8476,6.8152,138.9265,2.4134,0.0114
494.4,81.5192,6.6768,0.1505,0.0372,0.8596,6.828,138.7352,2.4137,0.0114
494.41,77.8356,6.6094,0.1484,0.0366,0.8684,6.8502,138.911,2.414,0.0114
494.42,74.312,6.4874,0.1513,0.036,0.8758,6.8882,139.0868,2.4143,0.0114
494.43,74.7432,6.4961,0.1515,0.0362,0.8779,6.8784,139.2626,2.4146,0.0113
494.44,79.013,6.6636,0.1472,0.035,0.8739,6.9397,139.4384,2.4149,0.0113
494.45,80.7643,6.6953,0.1475,0.0361,0.8678,6.9023,139.6142,2.4152,0.0113
494.46,76.7616,6.519,0.1494,0.0376,0.8684,6.8177,139.79,2.4155,0.0113
494.47,79.1976,6.6197,0.1484,0.038,0.8574,6.7906,139.9658,2.4158,0.0113
494.48,84.8252,6.8239,0.1486,0.0397,0.8446,6.6954,140.1416,2.4161,0.0112
494.49,85.3444,6.8776,0.1496,0.0401,0.8465,6.6884,140.3174,2.4164,0.0112
494.5,88.6697,7.0388,0.1491,0.0394,0.8456,6.7271,140.4932,2.4167,0.0112
494.51,94.8945,7.3129,0.1467,0.0382,0.8367,6.7868,140.4018,2.4177,0.0112
494.52,103.0521,7.6104,0.1407,0.0369,0.8318,6.8499,140.3104,2.4188,0.0113
494.53,105.0036,7.7126,0.1362,0.0354,0.8266,6.9234,140.219,2.4198,0.0113
494.54,106.7716,7.7848,0.1338,0.0359,0.8192,6.8789,140.1276,2.4208,0.0114
494.55,109.9226,7.8522,0.135,0.0365,0.8086,6.8769,140.0362,2.4218,0.0114
494.56,112.8545,7.8326,0.1362,0.0377,0.7972,6.8246,139.9448,2.4229,0.0114
494.57,109.3838,7.7309,0.1372,0.0378,0.7926,6.8203,139.8534,2.4239,0.0115
494.58,103.8634,7.5464,0.1438,0.0376,0.7901,6.813,139.762,2.4249,0.0115
494.59,98.2362,7.3194,0.151,0.0368,0.7918,6.8595,139.6706,2.426,0.0116
494.6,94.444,7.2252,0.1499,0.0366,0.7978,6.8816,139.5792,2.427,0.0116
494.61,88.5644,7.081,0.1492,0.0354,0.8058,6.9326,138.8096,2.4279,0.0118
494.62,85.6104,7.0439,0.1491,0.0354,0.8166,6.9362,138.04,2.4287,0.012
494.63,91.5254,7.2065,0.1444,0.0348,0.8136,6.9912,137.2704,2.4296,0.0121
494.64,100.2775,7.5338,0.1352,0.0336,0.8122,7.043,136.5008,2.4304,0.0123
494.65,109.6231,7.8963,0.1308,0.0334,0.8085,7.0513,135.7312,2.4313,0.0125
494.66,116.7118,8.1462,0.1282,0.033,0.808,7.0768,134.9615,2.4322,0.0127
494.67,120.7874,8.3529,0.1195,0.033,0.8166,7.0692,134.1919,2.433,0.0129
494.68,132.7577,8.7952,0.1124,0.032,0.8116,7.1246,133.4223,2.4339,0.013
494.69,144.9584,9.2906,0.109,0.0314,0.8042,7.1655,132.6527,2.4347,0.0132
494.7,159.9854,9.7698,0.1062,0.0305,0.8026,7.2192,131.8831,2.4356,0.0134
494.71,182.9788,10.3922,0.1003,0.0302,0.8155,7.2319,131.0376,2.4365,0.0136
494.72,213.9326,11.2579,0.0928,0.0288,0.8256,7.342,130.192,2.4374,0.0139
494.73,236.3574,11.8806,0.089,0.0289,0.8328,7.3335,129.3465,2.4383,0.0141
494.74,247.5628,12.1749,0.0851,0.0284,0.85,7.4008,128.501,2.4392,0.0144
494.75,244.7885,12.0736,0.081,0.0289,0.8736,7.3818,127.6554,2.4402,0.0146
494.76,237.1976,11.8823,0.0774,0.0287,0.881,7.4016,126.8099,2.4411,0.0148
494.77,221.9,11.4916,0.0805,0.0288,0.8834,7.3824,125.9644,2.442,0.0151
494.78,194.7033,10.7028,0.0931,0.0288,0.8842,7.3563,125.1189,2.4429,0.0153
494.79,171.436,10.0254,0.1016,0.0306,0.884,7.2083,124.2733,2.4438,0.0156
494.8,165.0256,9.7584,0.105,0.0312,0.8594,7.1814,123.4278,2.4447,0.0158
494.81,169.843,9.7498,0.1062,0.0325,0.8257,7.1094,122.6867,2.4458,0.0163
494.82,157.031,9.35,0.11,0.033,0.817,7.0726,121.9455,2.4468,0.0169
494.83,147.2974,9.0475,0.111,0.0338,0.8039,7.0061,121.2044,2.4479,0.0174
494.84,145.4098,9.0064,0.1085,0.0335,0.791,7.0337,120.4632,2.4489,0.0179
494.85,136.1921,8.7065,0.1132,0.0334,0.7947,7.0418,119.7221,2.45,0.0185
494.86,118.8186,8.1745,0.1234,0.0329,0.811,7.0734,118.981,2.4511,0.019
494.87,100.5904,7.6334,0.1352,0.0341,0.8246,7.01,118.2398,2.4521,0.0195
494.88,101.2355,7.5603,0.1408,0.0337,0.8302,7.0417,117.4987,2.4532,0.02
494.89,101.947,7.4902,0.145,0.0335,0.8352,7.0497,116.7575,2.4542,0.0206
494.9,105.1802,7.4726,0.1492,0.0342,0.8304,7.0013,116.0164,2.4553,0.0211
494.91,104.0438,7.3718,0.1533,0.0345,0.8278,6.988,116.1492,2.4551,0.0213
494.92,102.6414,7.3832,0.1478,0.0348,0.8254,6.9674,116.2821,2.4549,0.0216
494.93,103.984,7.4262,0.1464,0.034,0.8273,7.0067,116.4149,2.4547,0.0218
494.94,97.3874,7.1918,0.1512,0.0344,0.8365,6.9888,116.5478,2.4545,0.022
494.95,90.0993,6.9202,0.1586,0.0348,0.8468,6.9914,116.6806,2.4543,0.0222
494.96,92.7552,7.0539,0.1548,0.0353,0.8526,6.95,116.8134,2.4542,0.0225
494.97,94.7492,7.0786,0.157,0.0348,0.853,6.9838,116.9463,2.454,0.0227
494.98,92.4621,6.9934,0.1604,0.0354,0.8558,6.9566,117.0791,2.4538,0.0229
494.99,92.0226,6.9934,0.161,0.035,0.8556,6.9744,117.212,2.4536,0.0232
495.0,95.7389,7.1322,0.1552,0.0356,0.8523,6.9355,117.3448,2.4534,0.0234
495.01,99.9822,7.28,0.149,0.0354,0.8568,6.9414,117.5775,2.4529,0.0236
495.02,104.4586,7.5011,0.1452,0.0356,0.8557,6.9372,117.8103,2.4524,0.0237
495.03,119.1636,8.08,0.1358,0.0344,0.8498,7.0204,118.043,2.4519,0.0239
495.04,140.6172,8.7428,0.1272,0.034,0.8336,7.0458,118.2758,2.4514,0.0241
495.05,157.551,9.3718,0.1163,0.0334,0.8162,7.1019,118.5085,2.4509,0.0242
495.06,162.2938,9.6532,0.1127,0.0336,0.8027,7.115,118.7412,2.4505,0.0244
495.07,160.021,9.6034,0.1166,0.0336,0.8012,7.0781,118.974,2.45,0.0246
495.08,168.2586,9.8036,0.1114,0.0338,0.7882,7.0595,119.2067,2.4495,0.0248
495.09,161.299,9.653,0.1116,0.0346,0.7881,6.9998,119.4395,2.449,0.0249
495.1,158.6452,9.595,0.1102,0.0353,0.7863,6.9572,119.6722,2.4485,0.0251
495.11,176.7147,9.9705,0.1064,0.0358,0.7663,6.911,119.3266,2.4481,0.0252
495.12,190.4006,10.2933,0.1006,0.037,0.7388,6.8485,118.981,2.4478,0.0252
495.13,195.2183,10.4089,0.0996,0.0373,0.7188,6.8528,118.6354,2.4474,0.0253
495.14,197.0564,10.3926,0.1043,0.0382,0.689,6.8344,118.2898,2.4471,0.0253
495.15,204.1332,10.558,0.1006,0.0384,0.6756,6.8423,117.9442,2.4467,0.0254
495.16,190.7368,10.27,0.1058,0.0366,0.71,6.935,117.5985,2.4463,0.0255
495.17,171.8641,9.86,0.1126,0.0363,0.7454,6.9304,117.2529,2.446,0.0255
495.18,164.8536,9.727,0.1114,0.0356,0.757,6.9506,116.9073,2.4456,0.0256
495.19,164.4187,9.7632,0.1086,0.035,0.7786,6.9868,116.5617,2.4453,0.0256
495.2,165.5742,9.7821,0.1094,0.0338,0.794,7.0637,116.2161,2.4449,0.0257
495.21,159.3502,9.6434,0.11,0.034,0.8176,7.0671,115.407,2.4461,0.0256
495.22,156.1651,9.5219,0.11,0.0322,0.8447,7.172,114.598,2.4473,0.0255
495.23,149.5866,9.2923,0.1133,0.0313,0.871,7.201,113.7889,2.4485,0.0255
495.24,137.3794,8.87,0.122,0.03,0.8915,7.2628,112.9799,2.4497,0.0254
495.25,124.5888,8.5176,0.1301,0.0303,0.907,7.237,112.1708,2.4509,0.0253
495.26,133.7028,8.6462,0.1295,0.0302,0.9034,7.2516,111.3617,2.4522,0.0252
495.27,144.9966,8.8966,0.128,0.0304,0.9012,7.242,110.5527,2.4534,0.0251
495.28,150.426,8.9509,0.1288,0.0302,0.9076,7.231,109.7436,2.4546,0.0251
495.29,159.6056,9.119,0.129,0.0316,0.9068,7.1311,108.9346,2.4558,0.025
495.3,168.6346,9.2714,0.1256,0.0324,0.9051,7.0877,108.1255,2.457,0.0249
495.31,183.4918,9.5379,0.1218,0.0344,0.89,7.0021,106.7601,2.4592,0.0247
495.32,202.5804,9.4785,0.13,0.0368,0.8675,6.8666,105.3946,2.4613,0.0245
495.33,241.902,9.8842,0.1336,0.0373,0.8672,6.8656,104.0292,2.4635,0.0242
495.34,276.158,10.6208,0.126,0.0367,0.873,6.9236,102.6638,2.4656,0.024
495.35,302.0,11.1992,0.1194,0.0356,0.8755,6.9828,101.2983,2.4678,0.0238
495.36,326.2515,11.4315,0.121,0.0366,0.8739,6.9622,99.9329,2.47,0.0236
495.37,321.6866,11.1599,0.1273,0.0378,0.8736,6.9462,98.5675,2.4721,0.0234
495.38,328.1485,11.2193,0.1272,0.0388,0.8596,6.9031,97.2021,2.4743,0.0231
495.39,319.8447,10.7734,0.1336,0.0411,0.8435,6.794,95.8366,2.4764,0.0229
495.4,321.8796,10.3068,0.1458,0.0437,0.818,6.6804,94.4712,2.4786,0.0227
495.41,323.7294,10.3694,0.1447,0.0422,0.8152,6.769,91.56,2.4842,0.0219
495.42,319.6021,10.6172,0.1386,0.041,0.8363,6.7954,88.6489,2.4898,0.0211
495.43,300.307,10.7062,0.1319,0.039,0.8522,6.8608,85.7377,2.4954,0.0203
495.44,266.2736,10.3774,0.1321,0.0383,0.863,6.875,82.8266,2.501,0.0195
495.45,247.8896,10.3178,0.1323,0.0366,0.867,6.9274,79.9154,2.5066,0.0187
495.46,239.7834,10.1681,0.1308,0.0363,0.8624,6.9164,77.0043,2.5122,0.0179
495.47,237.1896,9.7907,0.1405,0.0362,0.834,6.9231,74.0931,2.5178,0.0171
495.48,227.1896,9.5194,0.1432,0.0356,0.8119,6.9596,71.182,2.5234,0.0163
495.49,228.2435,9.619,0.1388,0.0341,0.8258,7.0141,68.2708,2.529,0.0155
495.5,244.3792,9.7456,0.1358,0.0326,0.8515,7.1089,65.3597,2.5346,0.0147
495.51,245.6156,9.7746,0.1306,0.0318,0.8707,7.1524,64.4013,2.5371,0.0142
495.52,244.9868,9.9868,0.1254,0.0312,0.8784,7.179,63.4429,2.5396,0.0137
495.53,238.6032,10.0358,0.1196,0.0315,0.8866,7.163,62.4845,2.5421,0.0131
495.54,230.1656,9.6969,0.1236,0.0334,0.891,7.0823,61.5261,2.5446,0.0126
495.55,203.8376,9.2405,0.1264,0.036,0.8897,6.9772,60.5678,2.5472,0.0121
495.56,192.686,9.336,0.1271,0.0373,0.8762,6.9444,59.6094,2.5497,0.0116
495.57,180.5092,9.2313,0.1326,0.0393,0.8716,6.8849,58.651,2.5522,0.0111
495.58,166.846,9.0407,0.1354,0.0407,0.8686,6.7996,57.6926,2.5547,0.0105
495.59,170.5484,9.1139,0.1405,0.0395,0.8702,6.847,56.7342,2.5572,0.01
495.6,180.4632,9.2695,0.1448,0.038,0.8677,6.8854,55.7758,2.5597,0.0095
495.61,175.7616,9.0968,0.1477,0.0369,0.8731,6.917,55.2484,2.5614,0.009
495.62,167.6334,8.7937,0.1501,0.0374,0.8882,6.8975,54.721,2.5631,0.0085
495.63,164.4367,8.5788,0.1502,0.038,0.9036,6.8666,54.1936,2.5648,0.008
495.64,159.0896,8.3243,0.1544,0.039,0.9184,6.7748,53.6662,2.5665,0.0075
495.65,158.3634,8.3104,0.1555,0.0395,0.9212,6.7864,53.1388,2.5682,0.0071
495.66,163.7688,8.355,0.164,0.0411,0.9174,6.7098,52.6114,2.57,0.0066
495.67,170.7549,8.4767,0.164,0.0412,0.9117,6.7158,52.084,2.5717,0.0061
495.68,174.1647,8.6037,0.163,0.0424,0.905,6.6782,51.5566,2.5734,0.0056
495.69,187.1478,8.9504,0.158,0.0417,0.8924,6.7364,51.0292,2.5751,0.0051
495.7,203.0297,9.3513,0.1494,0.0419,0.8777,6.6836,50.5018,2.5768,0.0046
495.71,205.8022,9.4898,0.1424,0.0408,0.8772,6.7288,50.6306,2.5781,0.0039
495.72,207.7522,9.6138,0.14,0.04,0.8748,6.7284,50.7595,2.5795,0.0031
