TDEP,LITOLOGIA
48.5,ARENITO
48.6,ARENITO
48.7,ARENITO
48.8,ARENITO
48.9,ARENITO
49.0,ARENITO
49.1,ARENITO
49.2,ARENITO
49.3,ARENITO
49.4,ARENITO
49.5,ARENITO
49.6,ARENITO
49.7,ARENITO
49.8,ARENITO
49.9,ARENITO
50.0,ARENITO
50.1,ARENITO
50.2,ARENITO
50.3,ARENITO
50.4,ARENITO
50.5,ARENITO
50.6,ARENITO
50.7,ARENITO
50.8,ARENITO
50.9,ARENITO
51.0,ARENITO
51.1,ARENITO
51.2,ARENITO
51.3,ARENITO
51.4,ARENITO
51.5,ARENITO
51.6,ARENITO
51.7,ARENITO
51.8,ARENITO
51.9,ARENITO
52.0,ARENITO
52.1,ARENITO
52.2,ARENITO
52.3,ARENITO
52.4,ARENITO
52.5,ARENITO
52.6,ARENITO
52.7,ARENITO
52.8,ARENITO
52.9,ARENITO
53.0,ARENITO
53.1,ARENITO
53.2,ARENITO
53.3,ARENITO
53.4,ARENITO
53.5,ARENITO
53.6,ARENITO
53.7,ARENITO
53.8,ARENITO
53.9,ARENITO
54.0,ARENITO
54.1,ARENITO
54.2,ARENITO
54.3,ARENITO
54.4,ARENITO
54.5,ARENITO
54.6,ARENITO
54.7,ARENITO
54.8,ARENITO
54.9,ARENITO
55.0,ARENITO
55.1,ARENITO
55.2,ARENITO
55.3,ARENITO
55.4,ARENITO
55.5,ARENITO
55.6,ARENITO
55.7,ARENITO
55.8,ARENITO
55.9,ARENITO
56.0,ARENITO
56.1,ARENITO
56.2,ARENITO
56.3,ARENITO
56.4,ARENITO
56.5,ARENITO
56.6,ARENITO
56.7,ARENITO
56.8,ARENITO
56.9,ARENITO
57.0,ARENITO
57.1,ARENITO
57.2,ARENITO
57.3,ARENITO
57.4,ARENITO
57.5,ARENITO
57.6,ARENITO
57.7,ARENITO
57.8,ARENITO
57.9,ARENITO
58.0,ARENITO
58.1,ARENITO
58.2,ARENITO
58.3,ARENITO
58.4,ARENITO
58.5,ARENITO
58.6,ARENITO
58.7,ARENITO
58.8,ARENITO
58.9,ARENITO
59.0,ARENITO
59.1,ARENITO
59.2,ARENITO
59.3,ARENITO
59.4,ARENITO
59.5,ARENITO
59.6,ARENITO
59.7,ARENITO
59.8,ARENITO
59.9,ARENITO
60.0,ARENITO
60.1,ARENITO
60.2,ARENITO
60.3,ARENITO
60.4,ARENITO
60.5,ARENITO
60.6,ARENITO
60.7,ARENITO
60.8,ARENITO
60.9,ARENITO
61.0,ARENITO
61.1,ARENITO
61.2,ARENITO
61.3,ARENITO
61.4,ARENITO
61.5,ARENITO
61.6,ARENITO
61.7,ARENITO
61.8,ARENITO
61.9,ARENITO
62.0,ARENITO
62.1,ARENITO
62.2,ARENITO
62.3,ARENITO
62.4,ARENITO
62.5,ARENITO
62.6,ARENITO
62.7,ARENITO
62.8,ARENITO
62.9,ARENITO
63.0,ARENITO
63.1,ARENITO
63.2,ARENITO
63.3,ARENITO
63.4,ARENITO
63.5,ARENITO
63.6,ARENITO
63.7,ARENITO
63.8,ARENITO
63.9,ARENITO
64.0,ARENITO
64.1,ARENITO
64.2,ARENITO
64.3,ARENITO
64.4,ARENITO
64.5,ARENITO
64.6,ARENITO
64.7,ARENITO
64.8,ARENITO
64.9,ARENITO
65.0,ARENITO
65.1,ARENITO
65.2,ARENITO
65.3,ARENITO
65.4,ARENITO
65.5,ARENITO
65.6,ARENITO
65.7,ARENITO
65.8,ARENITO
65.9,ARENITO
66.0,ARENITO
66.1,ARENITO
66.2,ARENITO
66.3,ARENITO
66.4,ARENITO
66.5,ARENITO
66.6,ARENITO
66.7,ARENITO
66.8,ARENITO
66.9,ARENITO
67.0,ARENITO
67.1,ARENITO
67.2,ARENITO
67.3,ARENITO
67.4,ARENITO
67.5,ARENITO
67.6,ARENITO
67.7,ARENITO
67.8,ARENITO
67.9,ARENITO
68.0,ARENITO
68.1,ARENITO
68.2,ARENITO
68.3,ARENITO
68.4,ARENITO
68.5,ARENITO
68.6,ARENITO
68.7,ARENITO
68.8,ARENITO
68.9,ARENITO
69.0,ARENITO
69.1,ARENITO
